English utensil term,Japanese word from Recipes,Item name on Ichiba,Hiragana,Katakana,Kanji,Other spellings,Notes,Average Costs
Egg separator,エッグセパレーター,エッグセパレーター,えっぐせぱれーたー,エッグセパレーター,,,,
Egg slicer,エッグスライサー ,エッグスライサー ,えっぐすらいさー,エッグスライサー ,,,,
Egg timer,エッグタイマー ,エッグタイマー ,えっぐたいまー,エッグタイマー ,,,,
Fish grill,魚焼き器,魚焼き器,さかなやきき,,,,,
Fillet knife,フィレナイフ ,フィレナイフ ,ふぃれないふ,フィレナイフ ,,,,
Fish scaler,うろこ引き,うろこ引き,うろこひき,ウロコヒキ,うろこ引き,鱗引き,うろこ引き　seems to be more common,
Fish slice,魚のスライス ,,さかなのすらいす,サカナノスライス,魚のスライス,,,
Flour sifter,小麦粉ふるい ,,こむぎふるい,コムギフルイ,小麦ふるい,,,
Food mill,食品工場,,,,,,,
Funnel,ファンネル ,,ふぁんねる,ファンネル ,,,,
Garlic press,ガーリックプレス ,,がーりっくぷれす,ガーリックプレス ,,,,
Grater,おろし金 ,,,,おろし金 ,,,
Grater,すりおろし器,,すりおろしき,スリオロシキ,擂りおろし器,,,
Grating bowl,すり鉢,すり鉢,すりばち,スリバチ,すり鉢,スリ鉢,,
Gravy strainer,グレービーストレーナー ,,ぐれーびーすとれーなー,グレービーストレーナー ,,,,
Herb chopper,ハーブチョッパー ,,はーぶちょっぱー,ハーブチョッパー ,,,,
Ladle,ひしゃく ,,ひしゃく ,,,,,
Ladle,お玉　（おたま）,,おたま,オタマ,お玉　（おたま）,,,
Lame,ラメ ,,らめ,ラメ ,,,,
Lemon reamer,レモンリーマー ,,れもんりーまー,レモンリーマー ,,,,
Lemon juicer/squeezer,絞り機,,しぼりき,シボリキ,絞り機,,,
Lemon squeezer,レモンスクイーザー,,れもんすくいーざー,レモンスクイーザー,,,,
Lobster pick,ロブスターピックアップ ,,ろぶすたーぴっくあっぷ,ロブスターピックアップ ,,,,
Mandoline,マンドリーヌ ,,まんどりーん,マンドリーン,,,,
Mated colander pot,嵌合時ザルポット ,,,,嵌合時ザルポット ,,,
Measuring cup,計量カップ ,,,,計量カップ ,,,
Measuring spoon,計量スプーン ,,,,計量スプーン ,,,
Meat grinder,肉挽き器 ,,,,肉挽き器 ,,,
Meat tenderiser,肉tenderiser ,,,,,,,
Meat thermometer,肉用温度計 ,,,,肉用温度計 ,,,
Melon baller,メロンボーラー ,,めろんぼーらー,メロンボーラー ,,,,
Mezzaluna,メッツァルーナ ,,めっしぁるーな,メッツァルーナ ,,,,
Mortar and pestle,すり鉢とすりこぎ ,,,,すり鉢とすりこぎ ,,,
Nutcracker,くるみ割り人形 ,,,,くるみ割り人形 ,,,
Nutmeg grater,ナツメグおろし ,,なつめぐおろし,ナツメグおろし ,,ナツメグ卸,,
Oven glove,オーブングローブ ,,おーぶんぐろーぶ,オーブングローブ ,,,,
Pastry bag,菓子袋 ,,かしぶくろ,カシブクロ,菓子袋 ,,,
Pastry blender,ペストリーブレンダー ,,ぷすとりーぶれんだー,ペストリーブレンダー ,,,,
Pastry brush,ペストリーブラシ ,,,,,,,
Pastry wheel,ペストリーホイール ,,,,,,,
Peel,ピール ,,,,,,,
Peeler,ピーラー ,,,,,,,
Pepper mill,コショウひき ,,,,,,,
Pie bird,パイの鳥 ,,,,,,,
Pizza cutter,ピザカッター ,ピザカッター,ぴざかったー,,,,,
Potato masher,ポテトマッシャー ,ポテトマッシャー,ぽてとまっしゃー,,,,,
Potato slicer,ポテトライサー,ポテトライサー,ぽてとらいさー,,,,,
Pot-holder,ポットホルダー ,ポットホルダー,ぽっとほるだー,,,,,
Poultry shears,家禽ばさみ ,キッチンはさみ,きっちんはさみ,,,,,
Rice cooker,炊飯器,炊飯器,すいはんき,スイハンキ,,,,
Rice cooker,,炊飯ジャー,すいはんじゃー,スイハンジャー,,,,
Rice cooker,,ライスクッカー,らいすくっかー,,,,,
Ricer,ライサー ,,,,,,,
Roller docker,ローラードッキングウィンドウ ,パイローラー,ぱいろーらー,,,,,
Rolling pin,麺棒 ,めん棒,めんぼう,メンボウ,麺棒,,,
Salt shaker,塩入れ ,塩入れ,しおいれ,シオイレ,,,,
Sugar shaker,砂糖いれ,砂糖いれ,さとういれ,サトウイレ,,,,
Scales,スケールズ ,スケール,すけーる,,,,,
Scales,スケール,はかり,はかり,ハカリ,秤,,,
Scales,はかり,キッチンスケール,きっちんすけーる,,,,,
Scoop,スクープ ,スクープ,すくーぷ,,,,,
Shellfish scraper,貝スクレーパー ,,,,,,,
Sieve,ふるい ,粉ふるい器,こなふるいき,コナフルイキ,,粉振るい器,,
Slotted spoon,スロット付きスプーン ,スロットスプーン,すろっとすぷーん,,,,,
Spider,あみじゃくし,網じゃくし,あみじゃくし,アミジャクシ,網杓子,,,
Sugar thermometer,シュガー温度計 ,料理用温度計,りょうりようおんどけい,リョウリヨウオンドケイ,,,,
Food thermometer,,食品用温度計,しょくひんようおんどけい,ショクヒンオンドケイ,,,,
Tamis,タミス ,,,,,,,
Tin opener,缶切り ,缶切り,かんきり,カンキリ,,,,
Tomato knife,トマトナイフ ,トマトナイフ,とまとないふ,,,,,
Tongs,トング ,トング,とんぐ,,,,,
Trussing needle,トラス針 ,,,,,,,
Twine,巻き付く ,,,,,,,
Wooden spoon,木製スプーン ,木製スプーン,もくせいすぷーん,ムクセイスプーン,,,,
Zester,ゼスター,ゼスター,ぜすたー,,,,,
Takoyaki grill,たこ焼き器,たこ焼き器,たこやきき,タコヤキキ,たこ焼き器,タコ焼き器,,
Food container,フードコンテナ,ランチボックス,らんちぼっくす,,,,,
Food container,,フードポット,ふーどぽっと,,,,,
Food container,,フードコンテナ,ふーどこんてな,,,,,
Blender/small blender,ミキサー,ミキサー,みきさー,,,,,
Cooking chopsticks,菜箸,菜箸,さいばし,サイバシ,,,,
Brush (for adding sauce or for baking),刷毛,刷毛,はけ,ハケ,,,http://recipe.rakuten.co.jp/recipe/1520007528/,
Mesh roller,メッシュローラー,,めっしゅろーらー,,,,,
Brioche cake mold,ブリオッシュ型,ブリオッシュ型,ぶりおっしゅかた,ブリオッシュカタ,,,http://recipe.rakuten.co.jp/recipe/1520007528/,
Measuring cup,メジャーリングカップ,メジャーリングカップ,めじゃーりんぐかっぷ,,,,,
Measuring cup,計量カップ,,けいりょうかっぷ,ケイリョウカップ,,,,
Baking sheet,ベーキングシート,ベーキングシート,べーきんぐしーと,,,,,
Wax paper,ワックスペーパー,ワックスペーパー,わっくすぺーぱー,,,,,
Cake cooler,ケーキクーラー,ケーキクーラー,けーきくーらー,,,,,
Heat resistant container (for baking),耐熱容器,スフレ・耐熱容器,たいねつようき,タイネツヨウキ,,,,
Heat resistant container (for baking),耐熱カップ,,,,,,,
Heat resistant plate,耐熱皿,耐熱皿,たいねつさら,タイネツサラ,,,,
Pressure cooker,圧力鍋,圧力鍋,あつりょくなべ,アツリョクナベ,圧力鍋,,There is a whole category listing of recipes ,
Tajine,タジン鍋,タジン鍋,たじんなべ,タジンナベ,タジン鍋,タジンナベ、たじんなべ,There is a whole category listing of recipes ,
Waterless cooker,無水鍋,無水鍋,むすいなべ,ムスイナベ,無水鍋,,,
Bread machine,ホームベーカリ,ホームベーカリ,ほーむべーかり,ホームベーカリ,,HB,This search term yields a lot of other items as results...,
Enamel pot,ホーロー鍋,ホーロー鍋,ほーろーなべ,ホーローナベ,,,,
Silicon steamer,シリコンスチーマー,シリコンスチーマー,しりこんすちーまー,シリコンスチーマー,,,,
Wok,中華鍋,中華鍋,ちゅうかなべ,チュウカナベ,,,,
Thermos (specifically for soup),スープジャー,スープジャー,すーぷじゃー,スープジャー,,,Also referred to as サーモス (brand),
Air fryer,ノンフライヤー,ノンフライヤー,のんふらいやー,ノンフライヤー,,,,
Mill Mixer,ミルサー,ミルサー,みるさー,ミルサー,,,Seem to be made exclusively by Iwatani,
Pestle,すりこ木,すりこ木,すりこき,スリコキ,擂粉木,擂り粉木,,
Steamer (steamer insert),蒸し器,蒸し器,むしき,ムシキ,蒸器,蒸し器,蒸し器 seems slightly more frequently used than 蒸器,
Steamer (steamer insert),蒸し皿,,むしさら,ムシサラ,,,,
Silicon steamer,シリコンスチーマー,シリコンスチーマー,しりこんすちーまー,,,,,
Scraper,スケッパー,スケッパー,,,,,,
Tart mold,タルト台,タルト台,たるとだい,タルトダイ,,,,
Tart mold,タルト型,,たるとがた,タルトガタ,,,,
Peeler,ピーラー,ピーラー,ぴーらー,ピーラー,,,Slightly more common as search term on いちば,
Peeler,皮むき器,皮むき器,かわむきき,カワムキキ,皮むき器,,,
Juicer,ジューサー,ジューサー,じゅーさー,ジューサー,,,,
Draining rack,水切り,水切りラック,みずきりらっく,ミズキリラック,,,,
Bamboo skewers,竹串,竹串,たけぐし,タケグシ,,竹ぐし,,
Caddy Spoon ,ティーキャディースプーン,ティーキャディースプーン,てぃーきゃでぃーすぷーん,ティーキャディースプーン,,,,
Ice Cream Maker,アイスクリームメーカー,アイスクリームメーカー,あいすくりーむめーかー,アイスクリームメーカー,,,,
Dashi pot,だしポット,だしポット,だしぽっと,だしポット,,,,
Stone Bowl,石鍋,石鍋,いしなべ,イシナベ,,,,
Japanese Wooden Dish,ひのき,ひのき,ひのき,ヒノキ,,,,
Small Bowl,こね鉢,こね鉢,こねはち,コネハチ,,,,
Ladle ,レードル,レードル,れーどる,レードル,,,,
Storage container,保存容器,保存容器,ほぞんようき,ホゾンヨウキ,,,,
Pickle container,漬物容器,漬物容器,つけものようき,ツケモノヨウキ,漬物容器,漬け物容器、漬け容器、漬物樽,,
Crab Scissors ,カニチョキ,カニチョキ,かにちょき,カニチョキ,,,,
Clay pot,土鍋,土鍋,どなべ,ドナベ,,,,
Lid,フタ,鍋フタ,なべふた,ナベフタ,鍋蓋,鍋ふた,,
Wooden spatula,木べら,木製ヘラ,もくせいへら,モクセイヘラ,,,,
Hot plate/tabletop grill,ホットプレート,ホットプレート,ほっとぷれーと,ホットプレート,,,,
Fondue pot (set),チーズフォンデュセット,チーズフォンデュセット,ちーずふぉんでゅせっと,チーズフォンデュセット,,,,
Whisk,泡立て器,泡立て器,あわだてき,アワダテキ,,,,
Paper mat,敷紙,料理敷紙,りょうりしきがみ,リョウリシキガミ,,,,
Oven paper,オーブンペーパー,オーブンペーパー,おーぶんぺーぱー,,,,,
Bowls for indirect heating,湯せん,湯せん用ボール,ゆせんようぼーる,ユセンヨウボール,湯煎,,,
Oven sheet,天板,オーブン天板,おーぶんてんいた,オーブンテンイタ,,,,
Hand mixer,ハンドミキサー,ハンドミキサー,はんどみくさー,,,,,
Home bakery (bread maker),ホームベーカリー,ホームベーカリー,ほーむべーかりー,,,,,
Terrine mold,テリーヌ型,テリーヌ型,てりーぬかた,テリーヌカタ,,,,
Parchment paper,硫酸紙,硫酸紙,りゅうさんし,リュウサンシ,,,,
Meat thermometer,肉用温度計,肉用温度計,にくようおんどけい,ニクヨウオンドケイ,,,,
