English utensil term,Japanese word from Recipes,Item name on Ichiba,Hiragana,Katakana,Kanji,Other spellings,Notes,Average Costs
Lobster pick,ロブスターフォーク,ロブスターフォーク,,,,,,
Mandoline/slicer,マンドリーヌ ,スライサー,,,,,,
Pasta pot,パスタポット,パスタポット,,,,,,
Measuring cup,計量カップ ,計量カップ ,,,計量カップ ,,,
Measuring spoon,計量スプーン ,計量スプーン ,,,計量スプーン ,,,
Meat grinder,肉挽き器 ,肉挽き器 ,,,肉挽き器 ,,,
Meat tenderiser,ミートテンダライザー,ミートテンダライザー,,,,,,
Meat thermometer,肉用温度計 ,肉用温度計 ,,,肉用温度計 ,ミートサーモ,,
Melon baller,メロンボーラー ,メロンボーラー ,,,,,,
Mezzaluna,メッツァルーナ ,メッツァルーナ ,,,,,,
Mortar and pestle,すり鉢とすりこぎ ,すり鉢とすりこぎ,,,すり鉢とすりこぎ ,,,
Nutcracker,くるみ割り,くるみ割り,,,くるみ割り,,,
Nutmeg grater,ナツメグミル,ナツメグミル,,,,ナツメグ挽,,
Oven glove,オーブンミット,オーブンミット,,,,オーブンミット,,
Pastry bag,絞り出し袋,絞り出し袋,,,絞り出し袋,,,
Pastry blender,ペストリーブレンダー ,ペストリーブレンダー ,,,,,,
Pastry brush,ペストリーブラシ ,ペストリーブラシ ,,,,,,
Pastry wheel,ペストリーホイール ,ペストリーホイール ,,,,,,
Peel,ピール ,ピール ,,,,,,
Peeler,ピーラー ,ピーラー ,,,,,,
Pepper mill,コショウひき ,コショウひき ,,,,,,
Pie bird,パイバード,パイバード,,,,,,
Pizza cutter,ピザカッター ,ピザカッター,,,,,,
Potato masher,ポテトマッシャー ,ポテトマッシャー,,,,,,
Potato slicer,ポテトライサー,ポテトライサー,,,,,,
Pot-holder,ポットホルダー ,ポットホルダー,,,,,,
Rice cooker,炊飯器,炊飯器,,,,,,
Rice cooker,炊飯ジャー,炊飯ジャー,,スイハンジャー,,,,
Rice cooker,ライスクッカー,ライスクッカー,,,,,,
Slicer,スライサー ,スライサー,,,,,,
Roller docker,ローラードッキングウィンドウ ,パイローラー,,,,,,
Rolling pin,麺棒 ,めん棒,めんぼう,メンボウ,,めん棒,,
Salt shaker,塩入れ ,塩入れ,しおいれ,シオイレ,,,,
Sugar shaker,砂糖いれ,砂糖いれ,さとういれ,サトウイレ,,,,
Scales,スケールズ ,スケール,,,,,,
Scales,スケール,はかり,,,秤,,,
Scales,はかり,キッチンスケール,,,,,,
Scoop,スクープ ,スクープ,,,,,,
Shellfish scraper,貝スクレーパー ,貝むきナイフ,,,,貝剥きナイフ,,
Sieve,ふるい ,粉ふるい器,,,,粉振るい器,,
Slotted spoon,スロット付きスプーン ,スロットスプーン,,,,,,
Spider,あみじゃくし,網じゃくし,あみじゃくし,,網杓子,,,
Sugar thermometer,シュガー温度計 ,料理用温度計,,,,,,
Food thermometer,,食品用温度計,,,,,,
Tin opener,缶切り ,缶切り,かんきり,カンキリ,,,,
Tomato knife,トマトナイフ ,トマトナイフ,,,,,,
Tongs,トング ,トング,,,,,,
Wooden spoon,木製スプーン ,木製スプーン,,,,木スプーン,,
Zester,ゼスター,ゼスター,,,,,,
Takoyaki grill,たこ焼き器,たこ焼き器,,,,タコ焼き器,,
Food container,フードコンテナ,保存容器,,,,フードポット,,
Bento box,お弁当箱,お弁当箱,,,,ランチボックス,,
Blender/small blender,ミキサー,ミキサー,,,,,,
Cooking chopsticks,菜箸,菜箸,さいばし,,,,,
Brush (for adding sauce or for baking),刷毛,刷毛,,,,,http://recipe.rakuten.co.jp/recipe/1520007528/,
Mesh roller,メッシュローラー,メッシュローラー,,,,,,
Brioche cake mold,ブリオッシュ型,ブリオッシュ型,,,,,http://recipe.rakuten.co.jp/recipe/1520007528/,
Measuring cup,メジャーリングカップ,メジャーリングカップ,,,,,,
Measuring cup,計量カップ,計量カップ,,,,,,
Baking sheet,ベーキングシート,ベーキングシート,,,,,,
Wax paper,ワックスペーパー,ワックスペーパー,,,,,,
Cake cooler,ケーキクーラー,ケーキクーラー,,,,,,
Heat resistant container (for baking),耐熱容器,耐熱容器,,,,,,
Heat resistant container (for baking),耐熱カップ,スフレ,,,,,,
Heat resistant plate,耐熱皿,耐熱皿,,,,,,
Pressure cooker,圧力鍋,圧力鍋,,,,,There is a whole category listing of recipes ,
Tajine,タジン鍋,タジン鍋,,,,タジンナベ、たじんなべ,There is a whole category listing of recipes ,
Waterless cooker,無水鍋,無水鍋,,,,,,
Bread machine,ホームベーカリ,ホームベーカリ,,,,,This search term yields a lot of other items as results...,
Enamel pot,ホーロー鍋,ホーロー鍋,,,,,,
Silicon steamer,シリコンスチーマー,シリコンスチーマー,,,,,,
Wok,中華鍋,中華鍋,,,,,,
Thermos (specifically for soup),スープジャー,スープジャー,,,,サーモス,Also referred to as サーモス (brand),
Air fryer,ノンフライヤー,ノンフライヤー,,,,,,
Mill Mixer,ミルサー,ミルサー,,,,,Seem to be made exclusively by Iwatani,
Pestle,すりこ木,すりこ木,,,擂粉木,擂り粉木,,
Steamer (steamer insert),蒸し器,蒸し器,,,蒸器,,蒸し器 seems slightly more frequently used than 蒸器,
Steamer (steamer insert),蒸し皿,蒸し皿,,,,,,
Silicon steamer,シリコンスチーマー,シリコンスチーマー,,,,,,
Scraper,スケッパー,スケッパー,,,,,,
Tart mold,タルト台,タルト台,,,,,,
Tart mold,タルト型,タルト型,,,,,,
Peeler,ピーラー,ピーラー,,,,,Slightly more common as search term on いちば,
Peeler,皮むき器,皮むき器,,,,,,
Juicer,ジューサー,ジューサー,,,,,,
Draining rack,水切り,水切りラック,,,,,,
Bamboo skewers,竹串,竹串,,,,竹ぐし,,
Steel skewers,焼き串,ステンレス焼き串,,,,,,
Caddy Spoon ,ティーキャディースプーン,ティーキャディースプーン,,,,,,
Ice Cream Maker,アイスクリームメーカー,アイスクリームメーカー,,,,,,
Dashi pot,だしポット,だしポット,,,,,,
Stone Bowl,石鍋,石鍋,,,,,,
Japanese Wooden Dish,ひのき,ひのき,,ヒノキ,,,,
Small Bowl,こね鉢,こね鉢,,,,,,
Ladle ,レードル,レードル,,,,,,
Storage container,保存容器,保存容器,,,,,,
Pickle container,漬物容器,漬物容器,,,漬物容器,漬け物容器、漬け容器、漬物樽,,
Clay pot,土鍋,土鍋,,,,,,
Lid,フタ,鍋フタ,,,鍋蓋,鍋ふた、鍋フタ,,
Wooden spatula,木べら,木製ヘラ,,,,木製ヘラ、木ベラ、木ヘラ、木製ベラ,,
Hot plate/tabletop grill,ホットプレート,ホットプレート,,,,,,
Fondue pot (set),チーズフォンデュセット,チーズフォンデュセット,,,,,,
Whisk,泡立て器,泡立て器,,,,,,
Paper mat,敷紙,料理敷紙,,,,敷き紙,,
Oven paper,オーブンペーパー,オーブンペーパー,,,,,,
Bowls for indirect heating,湯せん,湯せん用ボール,,,湯煎,,,
Oven sheet,天板,オーブン天板,,,,,,
Hand mixer,ハンドミキサー,ハンドミキサー,,,,,,
Home bakery (bread maker),ホームベーカリー,ホームベーカリー,,,,,,
Terrine mold,テリーヌ型,テリーヌ型,,,,,,
Parchment paper,硫酸紙,硫酸紙,,,,,,
Meat thermometer,肉用温度計,肉用温度計,,,,,,
Cookie cutter,クッキー型,クッキー型,,,,,,
Nori holepunch,海苔パンチ,海苔パンチ,,,,のりパンチ,,
Toothpick,ピック,ピック,,,,,,
